Method,Mean
Document AI*,1.6843840439103555
Docling,2.114572257866875
Unstructured.io,5.100960146719754
Gemini 2.5 Flash*,15.174811373091048
MinerU 2.5 Pipeline,15.421463573186458
Granite Docling,16.73791053219447
LlamaParse*,37.0955639794646
MinerU 2.5 VLM,42.01820905479972
